Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,DELETE /user/delete/{user_id},46,0,10,10.343009130476434,3.6317089998192387,35.556124999857275,39.0,0.3857175345226948,0.0,10,12,13,14,15,18,36,36,36,36,36
GET,GET /protected_root,50,0,8,21.767838319992734,4.183749999356223,497.3980830000073,35.06,0.4192581896985813,0.0,10,15,16,16,22,35,500,500,500,500,500
GET,GET /user/get/all,227,0,26,38.93521899999742,10.546249999606516,695.6121249995704,225395.25991189427,1.903432181231559,0.0,26,32,37,38,50,68,280,490,700,700,700
GET,GET /user/get/email/{email},114,0,10,16.470246350851532,3.6704169997392455,274.885083999834,465.7105263157895,0.9559086725127653,0.0,10,14,16,16,17,25,83,240,270,270,270
GET,GET /user/get/id/{user_id},108,0,10,13.57158416660948,3.988708000179031,146.97166600035416,466.5833333333333,0.9055976897489356,0.0,11,15,16,17,22,33,37,37,150,150,150
PATCH,PATCH /user/update/{user_id},102,0,8,11.399010578431854,3.7825409999641124,65.79074999990553,473.3921568627451,0.8552867069851059,0.0,8,12,15,16,18,25,26,59,66,66,66
POST,POST /login,15,0,790.0,724.5642445333942,251.63862499994138,1037.130624999918,511.0,0.1257774569095744,0.0,790,790,1000,1000,1000,1000,1000,1000,1000,1000,1000
POST,POST /user/create,15,0,770.0,824.0233082665023,404.13270899989584,1602.9233330000352,429.0,0.1257774569095744,0.0,770,840,1000,1000,1600,1600,1600,1600,1600,1600,1600
POST,POST /user/create (new),86,0,280.0,295.54708816276826,242.66145799992955,1046.719375000066,444.8139534883721,0.7211240862815599,0.0,280,290,290,290,310,320,1000,1000,1000,1000,1000
POST,POST /user/create-batch,59,0,290.0,300.99362213558516,253.05391599977156,558.8510420002422,1360.6610169491526,0.49472466384432595,0.0,290,300,310,320,340,360,460,560,560,560,560
POST,POST /user/user_info/create/{user_id},52,52,4,5.23701844232304,1.9472499998300918,16.019374999814318,184.0,0.4360285172865246,0.4360285172865246,5,6,6,7,9,10,11,16,16,16,16
GET,UNAUTH: GET /user/get/all,97,97,28,49.2930579484704,9.54345900026965,531.3276670003688,213485.1030927835,0.8133608880152478,0.8133608880152478,28,33,37,38,64,130,500,530,530,530,530
GET,UNAUTH: GET /user/get/email/{email},51,51,9,21.658495058866666,3.9490839999416494,566.8216670001129,27.0,0.42764335349255295,0.42764335349255295,9,13,14,14,17,27,50,570,570,570,570
POST,UNAUTH: POST /user/create,46,0,270.0,278.0911340433981,245.82449999979872,344.8224579997259,438.0,0.3857175345226948,0.0,280,290,290,290,310,330,340,340,340,340,340
,Aggregated,1068,200,17,93.87969744942778,1.9472499998300918,1602.9233330000352,67595.33707865169,8.955354931961697,1.6770327587943252,17,31,59,250,290,320,770,1000,1600,1600,1600
